word	transcription	lemma	lem_trans	pos	wordfreq	lemfreq
thicker	θɪkɚ 	thick	θɪk 	j	3466	41420
thickest	θɪkɪst 	thick	θɪk 	j	820	41420
athletes	æθliːts 	athlete	æθliːt 	n	27148	40094
athlete	æθliːt 	athlete	æθliːt 	n	12946	40094
breathe	bɹiːð 	breathe	bɹiːð 	v	20262	39322
breathing	bɹiːðɪŋ 	breathe	bɹiːð 	v	12165	39322
breathed	bɹiːðd 	breathe	bɹiːð 	v	5095	39322
breathes	bɹiːðz 	breathe	bɹiːð 	v	1800	39322
bathroom	bæθɹuːm 	bathroom	bæθɹuːm 	n	35058	38712
bathrooms	bæθɹuːmz 	bathroom	bæθɹuːm 	n	3633	38712
bath-room	bæθɹuːm 	bathroom	bæθɹuːm 	n	17	38712
therapy	θɛɹəpi 	therapy	θɛɹəpi 	n	32604	36823
therapies	θɛɹəpiz 	therapy	θɛɹəpi 	n	4219	36823
wealth	wɛlθ 	wealth	wɛlθ 	n	35662	35662
beneath	bᵻniːθ 	beneath	bᵻniːθ 	i	34337	34337
ethnic	ɛθnɪk 	ethnic	ɛθnɪk 	j	32857	32857
another	ɐnʌðɚ 	another	ɐnʌðɚ 	p	30791	30791
math	mæθ 	math	mæθ 	n	30465	30465
rather	ɹæðɚ 	rather	ɹæðɚ 	c	30233	30233
depth	dɛpθ 	depth	dɛpθ 	n	22897	30176
depths	dɛpθs 	depth	dɛpθ 	n	7279	30176
throat	θɹoʊt 	throat	θɹoʊt 	n	27112	30071
throats	θɹoʊts 	throat	θɹoʊt 	n	2959	30071
fifth	fɪfθ 	fifth	fɪfθ 	m	29510	29510
grandmother	ɡɹændmʌðɚ 	grandmother	ɡɹændmʌðɚ 	n	26351	28091
grandmothers	ɡɹændmʌðɚz 	grandmother	ɡɹændmʌðɚ 	n	1705	28091
grand-mother	ɡɹændmʌðɚ 	grandmother	ɡɹændmʌðɚ 	n	35	28091
smooth	smuːð 	smooth	smuːð 	j	24679	27095
smoother	smuːðɚ 	smooth	smuːð 	j	2116	27095
smoothest	smuːðɪst 	smooth	smuːð 	j	296	27095
worth	wɜːθ 	worth	wɜːθ 	n	26736	26778
worths	wɜːθs 	worth	wɜːθ 	n	42	26778
wealthy	wɛlθi 	wealthy	wɛlθi 	j	21795	26746
wealthiest	wɛlθiɪst 	wealthy	wɛlθi 	j	3065	26746
wealthier	wɛlθiɚ 	wealthy	wɛlθi 	j	1886	26746
neither	niːðɚ 	neither	niːðɚ 	d	26586	26586
clothing	kloʊðɪŋ 	clothing	kloʊðɪŋ 	n	24904	24923
clothings	kloʊðɪŋz 	clothing	kloʊðɪŋ 	n	19	24923
