word	transcription	lemma	lem_trans	pos	wordfreq	lemfreq
therapy	θ.ɛ.ɹ.ə.p.i	therapy	θ.ɛ.ɹ.ə.p.i	n	32604	36823
therapies	θ.ɛ.ɹ.ə.p.i.z	therapy	θ.ɛ.ɹ.ə.p.i	n	4219	36823
wealth	w.ɛ.l.θ	wealth	w.ɛ.l.θ	n	35662	35662
beneath	b.ᵻ.n.iː.θ	beneath	b.ᵻ.n.iː.θ	i	34337	34337
ethnic	ɛ.θ.n.ɪ.k	ethnic	ɛ.θ.n.ɪ.k	j	32857	32857
another	ɐ.n.ʌ.ð.ɚ	another	ɐ.n.ʌ.ð.ɚ	p	30791	30791
math	m.æ.θ	math	m.æ.θ	n	30465	30465
rather	ɹ.æ.ð.ɚ	rather	ɹ.æ.ð.ɚ	c	30233	30233
depth	d.ɛ.p.θ	depth	d.ɛ.p.θ	n	22897	30176
depths	d.ɛ.p.θ.s	depth	d.ɛ.p.θ	n	7279	30176
throat	θ.ɹ.o.ʊ.t	throat	θ.ɹ.o.ʊ.t	n	27112	30071
throats	θ.ɹ.o.ʊ.t.s	throat	θ.ɹ.o.ʊ.t	n	2959	30071
fifth	f.ɪ.f.θ	fifth	f.ɪ.f.θ	m	29510	29510
grandmother	ɡ.ɹ.æ.n.d.m.ʌ.ð.ɚ	grandmother	ɡ.ɹ.æ.n.d.m.ʌ.ð.ɚ	n	26351	28091
grandmothers	ɡ.ɹ.æ.n.d.m.ʌ.ð.ɚ.z	grandmother	ɡ.ɹ.æ.n.d.m.ʌ.ð.ɚ	n	1705	28091
grand-mother	ɡ.ɹ.æ.n.d.m.ʌ.ð.ɚ	grandmother	ɡ.ɹ.æ.n.d.m.ʌ.ð.ɚ	n	35	28091
smooth	s.m.uː.ð	smooth	s.m.uː.ð	j	24679	27095
smoother	s.m.uː.ð.ɚ	smooth	s.m.uː.ð	j	2116	27095
smoothest	s.m.uː.ð.ɪ.s.t	smooth	s.m.uː.ð	j	296	27095
worth	w.ɜː.θ	worth	w.ɜː.θ	n	26736	26778
worths	w.ɜː.θ.s	worth	w.ɜː.θ	n	42	26778
wealthy	w.ɛ.l.θ.i	wealthy	w.ɛ.l.θ.i	j	21795	26746
wealthiest	w.ɛ.l.θ.i.ɪ.s.t	wealthy	w.ɛ.l.θ.i	j	3065	26746
wealthier	w.ɛ.l.θ.i.ɚ	wealthy	w.ɛ.l.θ.i	j	1886	26746
neither	n.iː.ð.ɚ	neither	n.iː.ð.ɚ	d	26586	26586
clothing	k.l.o.ʊ.ð.ɪ.ŋ	clothing	k.l.o.ʊ.ð.ɪ.ŋ	n	24904	24923
clothings	k.l.o.ʊ.ð.ɪ.ŋ.z	clothing	k.l.o.ʊ.ð.ɪ.ŋ	n	19	24923
nevertheless	n.ɛ.v.ɚ.ð.ə.l.ɛ.s	nevertheless	n.ɛ.v.ɚ.ð.ə.l.ɛ.s	r	24438	24438
thirty	θ.ɜː.ɾ.i	thirty	θ.ɜː.ɾ.i	m	24427	24427
healthcare	h.ɛ.l.θ.k.ɛ.ɹ	health-care	h.ɛ.l.θ.k.ɛ.ɹ	n	16548	23216
health-care	h.ɛ.l.θ.k.ɛ.ɹ	health-care	h.ɛ.l.θ.k.ɛ.ɹ	n	6668	23216
myth	m.ɪ.θ	myth	m.ɪ.θ	n	16291	22770
myths	m.ɪ.θ.s	myth	m.ɪ.θ	n	6479	22770
thread	θ.ɹ.ɛ.d	thread	θ.ɹ.ɛ.d	n	17014	22683
threads	θ.ɹ.ɛ.d.z	thread	θ.ɹ.ɛ.d	n	5669	22683
grandfather	ɡ.ɹ.æ.n.d.f.ɑː.ð.ɚ	grandfather	ɡ.ɹ.æ.n.d.f.ɑː.ð.ɚ	n	21504	22432
grandfathers	ɡ.ɹ.æ.n.d.f.ɑː.ð.ɚ.z	grandfather	ɡ.ɹ.æ.n.d.f.ɑː.ð.ɚ	n	901	22432
grand-father	ɡ.ɹ.æ.n.d.f.ɑː.ð.ɚ	grandfather	ɡ.ɹ.æ.n.d.f.ɑː.ð.ɚ	n	27	22432
furthermore	f.ɜː.ð.ɚ.m.o.ː.ɹ	furthermore	f.ɜː.ð.ɚ.m.o.ː.ɹ	r	22381	22381
catholics	k.æ.θ.l.ɪ.k.s	Catholic	k.æ.θ.l.ɪ.k	n	13910	22367
catholic	k.æ.θ.l.ɪ.k	Catholic	k.æ.θ.l.ɪ.k	n	8457	22367
withdraw	w.ɪ.θ.d.ɹ.ɔː	withdraw	w.ɪ.θ.d.ɹ.ɔː	v	8784	22109
withdrew	w.ɪ.θ.d.ɹ.uː	withdraw	w.ɪ.θ.d.ɹ.ɔː	v	5192	22109
withdrawn	w.ɪ.θ.d.ɹ.ɔː.n	withdraw	w.ɪ.θ.d.ɹ.ɔː	v	4767	22109
withdrawing	w.ɪ.θ.d.ɹ.ɔː.ɪ.ŋ	withdraw	w.ɪ.θ.d.ɹ.ɔː	v	2511	22109
