word	transcription	lemma	pos	wordfreq	lemfreq
grandmothers	ɡɹændmʌðɚz 	grandmother	n	1705	28091
grand-mother	ɡɹændmʌðɚ 	grandmother	n	35	28091
smooth	smuːð 	smooth	j	24679	27095
smoother	smuːðɚ 	smooth	j	2116	27095
smoothest	smuːðɪst 	smooth	j	296	27095
worth	wɜːθ 	worth	n	26736	26778
worths	wɜːθs 	worth	n	42	26778
wealthy	wɛlθi 	wealthy	j	21795	26746
wealthiest	wɛlθiɪst 	wealthy	j	3065	26746
wealthier	wɛlθiɚ 	wealthy	j	1886	26746
neither	niːðɚ 	neither	d	26586	26586
clothing	kloʊðɪŋ 	clothing	n	24904	24923
clothings	kloʊðɪŋz 	clothing	n	19	24923
nevertheless	nɛvɚðəlɛs 	nevertheless	r	24438	24438
thirty	θɜːɾi 	thirty	m	24427	24427
healthcare	hɛlθkɛɹ 	health-care	n	16548	23216
health-care	hɛlθkɛɹ 	health-care	n	6668	23216
myth	mɪθ 	myth	n	16291	22770
myths	mɪθs 	myth	n	6479	22770
thread	θɹɛd 	thread	n	17014	22683
threads	θɹɛdz 	thread	n	5669	22683
grandfather	ɡɹændfɑːðɚ 	grandfather	n	21504	22432
grandfathers	ɡɹændfɑːðɚz 	grandfather	n	901	22432
grand-father	ɡɹændfɑːðɚ 	grandfather	n	27	22432
furthermore	fɜːðɚmoːɹ 	furthermore	r	22381	22381
catholics	kæθlɪks 	Catholic	n	13910	22367
catholic	kæθlɪk 	Catholic	n	8457	22367
withdraw	wɪθdɹɔː 	withdraw	v	8784	22109
withdrew	wɪθdɹuː 	withdraw	v	5192	22109
withdrawn	wɪθdɹɔːn 	withdraw	v	4767	22109
withdrawing	wɪθdɹɔːɪŋ 	withdraw	v	2511	22109
withdraws	wɪθdɹɔːz 	withdraw	v	855	22109
strengthen	stɹɛŋθən 	strengthen	v	10682	21276
strengthened	stɹɛŋθənd 	strengthen	v	4514	21276
strengthening	stɹɛŋθənɪŋ 	strengthen	v	4045	21276
strengthens	stɹɛŋθənz 	strengthen	v	2035	21276
ethics	ɛθɪks 	ethics	n	21228	21228
hypothesis	haɪpɑːθəsɪs 	hypothesis	n	15500	20698
hypotheses	haɪpɑːθəsiːz 	hypothesis	n	5198	20698
leather	lɛðɚ 	leather	n	20037	20393
leathers	lɛðɚz 	leather	n	356	20393
athletic	æθlɛɾɪk 	athletic	j	19650	19650
monthly	mʌnθli 	monthly	j	19414	19414
sixth	sɪksθ 	sixth	m	18547	18547
ethical	ɛθɪkəl 	ethical	j	18367	18367
thanksgiving	θæŋksɡɪvɪŋ 	Thanksgiving	n	18054	18234
thanksgivings	θæŋksɡɪvɪŋz 	Thanksgiving	n	180	18234
this	ðɪs 	this	r	17786	17786
rhythm	ɹɪðəm 	rhythm	n	13569	17605
rhythms	ɹɪðəmz 	rhythm	n	4036	17605
nonetheless	nʌnðəlɛs 	nonetheless	r	17584	17584
thumb	θʌm 	thumb	n	12700	16776
thumbs	θʌmz 	thumb	n	4076	16776
earthquake	ɜːθkweɪk 	earthquake	n	11834	16050
earthquakes	ɜːθkweɪks 	earthquake	n	4216	16050
mathematics	mæθɪmæɾɪks 	mathematics	n	15994	15994
theoretical	θiəɹɛɾɪkəl 	theoretical	j	15943	15943
bath	bæθ 	bath	n	12685	15725
baths	bæθs 	bath	n	3040	15725
northwest	nɔːɹθwɛst 	northwest	n	15241	15505
north-west	nɔːɹθwɛst 	northwest	n	264	15505
southwest	saʊθwɛst 	southwest	n	15185	15385
south-west	saʊθwɛst 	southwest	n	200	15385
thereby	ðɛɹbaɪ 	thereby	r	15288	15288
altogether	ɔːltəɡɛðɚ 	altogether	r	14986	14986
therapist	θɛɹəpɪst 	therapist	n	10736	14907
therapists	θɛɹəpɪsts 	therapist	n	4171	14907
seventh	sɛvənθ 	seventh	m	14877	14877
enthusiasm	ɛnθuːziæzəm 	enthusiasm	n	14486	14777
enthusiasms	ɛnθuːziæzəmz 	enthusiasm	n	291	14777
theology	θɪɑːlədʒi 	theology	n	14166	14636
theologies	θɪɑːlədʒiz 	theology	n	470	14636
cloth	klɔθ 	cloth	n	13249	14408
cloths	klɔθs 	cloth	n	1159	14408
thief	θiːf 	thief	n	8449	14374
